nro,Jerga,tipo,descripción corta,Descripción,fuente
551,conchuda,Jerga,sinvergüenza,"Fresco, sinvergüenza.",https://jergozo.com/diccionario-peruano
552,condorito,Jerga,condón,"preservativo, condón",https://jergozo.com/diccionario-peruano
553,concolón,Jerga,arroz quemado,Arroz quemado en el fondo de la olla,https://jergozo.com/diccionario-peruano
554,connotada,Jerga,distinguida,"Distinguido, notable, destacado, eminente, insigne, ilustre. Interesantemente, este barbarismo es parte del habla culta.",https://jergozo.com/diccionario-peruano
555,connotado,Jerga,distinguido,"Distinguido, notable, destacado, eminente, insigne, ilustre. Interesantemente, este barbarismo es parte del habla culta.",https://jergozo.com/diccionario-peruano
556,conos,Jerga,zonas alejadas de la ciudad,Forma de referirse a las zonas periféricas de Lima-Perú,https://jergozo.com/diccionario-peruano
557,conteo,Jerga,recuento,Recuento.,https://jergozo.com/diccionario-peruano
558,contestalón,Jerga,maleducado,"Esta es una voz muy uasada en el Perú, especialmente con los niños, y alude a aquella persona que responde y responde, sólo por responder, sin ningún sustento obviamente.",https://jergozo.com/diccionario-peruano
559,contrapuntear,Jerga,Rivalizar.,Rivalizar.,https://jergozo.com/diccionario-peruano
560,coñazo,Jerga,homosexual,"Se dice de un homosexual masculino, empedernido y/o exagerado",https://jergozo.com/diccionario-peruano
561,coñete,Jerga,tacaño,"Tacaño, cicatero.",https://jergozo.com/diccionario-peruano
562,coño,Jerga,carajo,Expresión muy similar en su uso a carajo.,https://jergozo.com/diccionario-peruano
563,copare,Jerga,amigo,"Se le dice a un amigo con confianza, amigos del barrio, etc.",https://jergozo.com/diccionario-peruano
564,corbata michi,Jerga,corbata,Corbata de lazo,https://jergozo.com/diccionario-peruano
565,corbina,Jerga,corbata,Corbata,https://jergozo.com/diccionario-peruano
566,cornelio ,Jerga,que le fueron infiel,Engañado,https://jergozo.com/diccionario-peruano
567,corolo,Jerga,hombre negro,"Persona de piel cuya pigmentación es bastante fuerte, o sea oscura, es decir, negro. Voz despectiva.",https://jergozo.com/diccionario-peruano
568,coroncho,Jerga,Coronel,Coronel,https://jergozo.com/diccionario-peruano
569,correr la bola,expresión,divulgar,Divulgar una noticia antes ignorada.,https://jergozo.com/diccionario-peruano
570,correrse la paja,expresión,masturbarse,Masturbarse,https://jergozo.com/diccionario-peruano
571,correteada,Jerga,Acción de correr,Acción de correr acosando a un animal.,https://jergozo.com/diccionario-peruano
572,cortado,Jerga,malogrado,cuando algo se malogra,https://jergozo.com/diccionario-peruano
573,cortar a la mañana,expresión,beber alcohol,"Beber un poco de alcohol, generalmente aguardiente, por la mañana.",https://jergozo.com/diccionario-peruano
574,cortina,Jerga,ocultar,"Apantallar o asolapar a otra persona, ocultar o entorpecer la vision o trayecto de otro.",https://jergozo.com/diccionario-peruano
575,corvina,Jerga,corbata,(F) corbata,https://jergozo.com/diccionario-peruano
576,coscacho,Jerga,coscorrón,"Coscorrón, golpe con los nudillos en la cabeza.",https://jergozo.com/diccionario-peruano
577,coser,Jerga,apuñalar,"Acuchillar , apuñalar",https://jergozo.com/diccionario-peruano
578,costalillo,Jerga,de costado,De costado,https://jergozo.com/diccionario-peruano
579,covadera,Jerga,guanera,"Guanera, lugar de donde se extrae guano.",https://jergozo.com/diccionario-peruano
580,covidiota,Jerga,idiota,"Persona realmente estúpida que a pesar de la enorme cantidad de muertos que está causando el coronavirus rehúsa tomar las precauciones necesarias que indican los médicos y el gobierno. Variación 2020 de otro tipo de estupido, el anti-vaxxer.",https://jergozo.com/diccionario-peruano
581,cranear,Jerga,pensar,Acto o acción de pensar,https://jergozo.com/diccionario-peruano
582,creído,Jerga,pedante,"Sobrado , pedante",https://jergozo.com/diccionario-peruano
583,criollada,Jerga,engraño,"(F) Engaño, forma baja de sorprender o estafar",https://jergozo.com/diccionario-peruano
584,crudo,Jerga,persona blanca,"La persona con piel blanco, que va a broncear lento o quemarse rápido en países calurosos",https://jergozo.com/diccionario-peruano
585,cuajo,Jerga,Frescura,Frescura.,https://jergozo.com/diccionario-peruano
586,cuca,Jerga,vagina,"Genitales femeninos. Coño, vulva.",https://jergozo.com/diccionario-peruano
587,cuchi,Jerga,sucio,Cochino,https://jergozo.com/diccionario-peruano
588,cuchiplanchar,Jerga,tener sexo,Realizar el acto sexual.,https://jergozo.com/diccionario-peruano
589,cuco,Jerga,mounstruo,"Coco, bu, camuñas, hombre del saco.",https://jergozo.com/diccionario-peruano
590,cucufata,Jerga,recatada,"Referido a persona, santurrona, mojigata en materia religiosa o moral",https://jergozo.com/diccionario-peruano
591,cuero,Jerga,guapo,"(M) Persona con atributos fisicos, atractivo (a)",https://jergozo.com/diccionario-peruano
592,cuete,Jerga,pistola,pistola,https://jergozo.com/diccionario-peruano
593,culear,Jerga,tener sexo,"TENER SEXO INTRODUCIENDO EL PENE O VERGA LA ANO DE UNA MUJER O HOMBRE, DADO EL GUSTO..",https://jergozo.com/diccionario-peruano
594,culebras,Jerga,deudas,Deudas,https://jergozo.com/diccionario-peruano
595,culero,Jerga,cobarde,Persona miedosa o cobarde,https://jergozo.com/diccionario-peruano
596,culiar,Jerga,tener sexo,Manera soez de nombrar al sexo anal,https://jergozo.com/diccionario-peruano
597,culito,Jerga,mujer,"Mujer , señorita, persona femenina joven y agraciada.",https://jergozo.com/diccionario-peruano
598,culo,Jerga,nalgas,Parte del cuerpo humano por donde se defeca. Tambien significa que hay bastante en abundancia,https://jergozo.com/diccionario-peruano
599,cumbiambero,Jerga,Cantante de cumbia,Cantante de cumbia,https://jergozo.com/diccionario-peruano
600,cumpita,Jerga,amigo,"Cumpita es una palabra muy utilizada en el ambito rural de Perú, especialmente en la sierra. Expresa amistad. Creo que proviene de compañero, compa y cumpa.",https://jergozo.com/diccionario-peruano
601,cuñado,Jerga,amigo,"Cuate, compadre.",https://jergozo.com/diccionario-peruano
